"","countrycode","country","year","polity5","democracy","gdppc","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name"
"1","BRN","BRUNEI",1985,NA,0,31827.4059557344,115.70288848877,NA,NA,NA,NA,0.166982526805242,NA,NA,NA,NA,218919,44.865704366892,NA,11.17508181138,30.03550300042,34.7995986956058,NA,NA,NA,NA,NA,NA,NA,70.499,69.188,72.349,NA,NA,NA,NA,2.88778814029385,"Asia","South-Eastern Asia"
"2","BRN","BRUNEI",1986,NA,0,18500.5408625966,120.399131774902,NA,126.455238342285,144.863464355469,80.08959,0.342778524320279,NA,NA,NA,NA,226495,44.9884324667985,NA,20.3539041997385,22.9691135535257,33.9562595972498,NA,NA,NA,NA,NA,NA,NA,70.762,69.387,72.68,NA,NA,NA,NA,4.67072980761742,"Asia","South-Eastern Asia"
"3","BRN","BRUNEI",1987,NA,0,21029.7189772961,117.51522064209,NA,NA,NA,NA,0.390456866642861,NA,NA,NA,NA,233860,45.096211408535,NA,19.4811811921445,26.7855376176689,35.1004069730623,NA,NA,NA,NA,NA,NA,NA,70.982,69.529,72.99,NA,NA,NA,NA,3.79251495457601,"Asia","South-Eastern Asia"
"4","BRN","BRUNEI",1988,NA,0,18824.7637309359,118.572631835938,NA,NA,NA,NA,0.524939407201023,NA,NA,NA,NA,240913,45.1787374643023,NA,25.0725008489622,19.0003232268832,26.4239625063631,NA,NA,NA,NA,NA,NA,NA,71.183,69.713,73.189,NA,NA,NA,NA,6.62997709980055,"Asia","South-Eastern Asia"
"5","BRN","BRUNEI",1989,NA,0,20090.0690184766,119.433128356934,NA,NA,NA,NA,0.578052221118683,NA,NA,NA,NA,248064,45.2389494688892,NA,26.1821223293739,25.6466724918498,32.9595689344962,NA,NA,NA,NA,NA,NA,NA,71.408,69.875,73.482,NA,NA,NA,NA,6.21043627031651,"Asia","South-Eastern Asia"
"6","BRN","BRUNEI",1990,NA,0,23658.7166330381,NA,NA,NA,NA,NA,0.574692028219198,NA,NA,0,NA,255292,45.2932328470927,100,25.0391073465101,30.6838382585785,38.9442334526855,NA,NA,NA,NA,NA,NA,NA,71.629,70.031,73.773,NA,NA,NA,NA,6.43773526926327,"Asia","South-Eastern Asia"
"7","BRN","BRUNEI",1991,NA,0,23932.1897530199,105.466613769531,NA,NA,NA,89.85875,0.590984762146623,NA,NA,NA,NA,262596,45.371978247955,100,27.1622986958727,17.8487047904996,24.5444897748744,88,92,82,NA,NA,NA,NA,71.858,70.2,74.059,NA,NA,NA,NA,6.40435012461295,"Asia","South-Eastern Asia"
"8","BRN","BRUNEI",1992,NA,0,23450.8964414887,101.51318359375,NA,NA,NA,91.66947,0.6454616616145,NA,NA,NA,NA,269839,45.4706492736436,100,30.0958454908462,19.1281731093251,26.0034551280989,NA,NA,NA,NA,NA,NA,NA,72.09,70.374,74.345,NA,NA,NA,NA,6.24514478073449,"Asia","South-Eastern Asia"
"9","BRN","BRUNEI",1993,NA,0,22397.073791312,99.2328491210938,NA,NA,NA,94.30621,0.744869172647217,NA,NA,NA,NA,276971,45.5620062677816,100,32.9405285560142,18.7936196786674,27.5414502126718,NA,NA,NA,NA,NA,NA,NA,72.333,70.561,74.64,NA,NA,NA,NA,5.74023173528116,"Asia","South-Eastern Asia"
"10","BRN","BRUNEI",1994,NA,0,22766.5871897245,97.9152221679688,NA,NA,NA,94.42407,0.856251483140304,NA,NA,NA,NA,284091,45.6473453928495,100,36.3241694397679,16.0500449703665,26.0634043120685,NA,NA,NA,NA,NA,NA,NA,72.571,70.76,74.904,NA,NA,NA,NA,5.98247135891837,"Asia","South-Eastern Asia"
